30,1888,0.56739,0,True,0.00256,20,20,0,0,0,0,1.0,,1,0.00305,30,30,0,0,0,0,1.0,,1,0.02159,50,50,0,0,0,0,1.0,,1,0.0147,100,100,0,0,0,0,1.0,,1,0.02597,200,200,0,0,0,0,1.0,,1,0.03775,300,300,0,0,0,0,1.0,,1,0.06217,500,500,0,0,0,0,1.0,,1,0.00777,50,50,0,0,0,0,1.0,,1,0.01297,100,100,0,0,0,0,1.0,,1,0.02738,200,200,0,0,0,0,1.0,,1,0.04024,300,300,0,0,0,0,1.0,,1,0.0689,500,500,0,0,0,0,1.0,,1,0.0283,200,200,0,0,0,0,1.0,,1,0.02844,200,200,0,0,0,0,1.0,,1,0.02665,200,200,0,0,0,0,1.0,,1,0.02901,200,200,0,0,0,0,1.0,,1,0.00493,100,0,0,0,0,0,1.0,,1,0.00884,200,0,0,0,0,0,1.0,,1,0.01428,300,0,0,0,0,0,1.0,,1,0.02599,500,0,0,0,0,0,1.0,,1,0.00965,200,0,0,0,0,0,1.0,,1,0.00994,200,0,0,0,0,0,1.0,,1,0.02406,500,0,0,0,0,0,1.0,,1
31,1932,0.56594,0,True,0.00278,20,20,0,0,0,0,1.0,,1,0.00316,30,30,0,0,0,0,1.0,,1,0.00573,50,50,0,0,0,0,1.0,,1,0.02105,100,100,0,0,0,0,1.0,,1,0.0272,200,200,0,0,0,0,1.0,,1,0.04501,300,300,0,0,0,0,1.0,,1,0.06211,500,500,0,0,0,0,1.0,,1,0.00455,50,50,0,0,0,0,1.0,,1,0.01242,100,100,0,0,0,0,1.0,,1,0.02896,200,200,0,0,0,0,1.0,,1,0.0376,300,300,0,0,0,0,1.0,,1,0.06152,500,500,0,0,0,0,1.0,,1,0.02669,200,200,0,0,0,0,1.0,,1,0.02488,200,200,0,0,0,0,1.0,,1,0.02709,200,200,0,0,0,0,1.0,,1,0.0264,200,200,0,0,0,0,1.0,,1,0.00543,100,0,0,0,0,0,1.0,,1,0.00859,200,0,0,0,0,0,1.0,,1,0.01394,300,0,0,0,0,0,1.0,,1,0.02723,500,0,0,0,0,0,1.0,,1,0.00966,200,0,0,0,0,0,1.0,,1,0.00967,200,0,0,0,0,0,1.0,,1,0.02367,500,0,0,0,0,0,1.0,,1
32,2180,0.56387,0,True,0.00249,20,20,0,0,0,0,1.0,,1,0.00296,30,30,0,0,0,0,1.0,,1,0.00802,50,50,0,0,0,0,1.0,,1,0.01455,100,100,0,0,0,0,1.0,,1,0.03401,200,200,0,0,0,0,1.0,,1,0.09949,300,300,0,0,0,0,1.0,,1,0.10184,500,500,0,0,0,0,1.0,,1,0.00498,50,50,0,0,0,0,1.0,,1,0.01633,100,100,0,0,0,0,1.0,,1,0.03254,200,200,0,0,0,0,1.0,,1,0.04124,300,300,0,0,0,0,1.0,,1,0.06998,500,500,0,0,0,0,1.0,,1,0.05424,200,200,0,0,0,0,1.0,,1,0.02884,200,200,0,0,0,0,1.0,,1,0.03517,200,200,0,0,0,0,1.0,,1,0.02992,200,200,0,0,0,0,1.0,,1,0.00762,100,0,0,0,0,0,1.0,,1,0.00948,200,0,0,0,0,0,1.0,,1,0.01478,300,0,0,0,0,0,1.0,,1,0.03172,500,0,0,0,0,0,1.0,,1,0.00956,200,0,0,0,0,0,1.0,,1,0.01418,200,0,0,0,0,0,1.0,,1,0.02991,500,0,0,0,0,0,1.0,,1
33,1342,0.58429,0,True,0.00281,20,20,0,0,0,0,1.0,,1,0.00314,30,30,0,0,0,0,1.0,,1,0.00644,50,50,0,0,0,0,1.0,,1,0.01459,100,100,0,0,0,0,1.0,,1,0.02598,200,200,0,0,0,0,1.0,,1,0.04156,300,300,0,0,0,0,1.0,,1,0.06518,500,500,0,0,0,0,1.0,,1,0.00923,50,50,0,0,0,0,1.0,,1,0.01365,100,100,0,0,0,0,1.0,,1,0.02641,200,200,0,0,0,0,1.0,,1,0.04988,300,300,0,0,0,0,1.0,,1,0.06411,500,500,0,0,0,0,1.0,,1,0.02985,200,200,0,0,0,0,1.0,,1,0.03055,200,200,0,0,0,0,1.0,,1,0.02903,200,200,0,0,0,0,1.0,,1,0.02984,200,200,0,0,0,0,1.0,,1,0.00949,100,0,0,0,0,0,1.0,,1,0.00892,200,0,0,0,0,0,1.0,,1,0.01676,300,0,0,0,0,0,1.0,,1,0.02787,500,0,0,0,0,0,1.0,,1,0.01151,200,0,0,0,0,0,1.0,,1,0.00965,200,0,0,0,0,0,1.0,,1,0.02586,500,0,0,0,0,0,1.0,,1
34,2889,0.56373,0,True,0.00256,20,20,0,0,0,0,1.0,,1,0.00312,30,30,0,0,0,0,1.0,,1,0.00415,50,50,0,0,0,0,1.0,,1,0.02296,100,100,0,0,0,0,1.0,,1,0.02741,200,200,0,0,0,0,1.0,,1,0.03972,300,300,0,0,0,0,1.0,,1,0.06814,500,500,0,0,0,0,1.0,,1,0.00503,50,50,0,0,0,0,1.0,,1,0.01469,100,100,0,0,0,0,1.0,,1,0.02699,200,200,0,0,0,0,1.0,,1,0.03857,300,300,0,0,0,0,1.0,,1,0.06163,500,500,0,0,0,0,1.0,,1,0.02568,200,200,0,0,0,0,1.0,,1,0.02778,200,200,0,0,0,0,1.0,,1,0.03007,200,200,0,0,0,0,1.0,,1,0.02612,200,200,0,0,0,0,1.0,,1,0.00775,100,0,0,0,0,0,1.0,,1,0.00914,200,0,0,0,0,0,1.0,,1,0.01368,300,0,0,0,0,0,1.0,,1,0.02852,500,0,0,0,0,0,1.0,,1,0.01124,200,0,0,0,0,0,1.0,,1,0.01031,200,0,0,0,0,0,1.0,,1,0.02574,500,0,0,0,0,0,1.0,,1
35,2127,0.55847,0,True,0.00251,20,20,0,0,0,0,1.0,,1,0.00295,30,30,0,0,0,0,1.0,,1,0.00649,50,50,0,0,0,0,1.0,,1,0.0266,100,100,0,0,0,0,1.0,,1,0.0252,200,200,0,0,0,0,1.0,,1,0.03881,300,300,0,0,0,0,1.0,,1,0.06538,500,500,0,0,0,0,1.0,,1,0.00573,50,50,0,0,0,0,1.0,,1,0.01263,100,100,0,0,0,0,1.0,,1,0.02413,200,200,0,0,0,0,1.0,,1,0.0384,300,300,0,0,0,0,1.0,,1,0.06461,500,500,0,0,0,0,1.0,,1,0.02643,200,200,0,0,0,0,1.0,,1,0.02749,200,200,0,0,0,0,1.0,,1,0.02686,200,200,0,0,0,0,1.0,,1,0.026,200,200,0,0,0,0,1.0,,1,0.02886,100,0,0,0,0,0,1.0,,1,0.00884,200,0,0,0,0,0,1.0,,1,0.01387,300,0,0,0,0,0,1.0,,1,0.02945,500,0,0,0,0,0,1.0,,1,0.00884,200,0,0,0,0,0,1.0,,1,0.00945,200,0,0,0,0,0,1.0,,1,0.02828,500,0,0,0,0,0,1.0,,1
36,190,0.55881,0,True,0.00255,20,20,0,0,0,0,1.0,,1,0.00332,30,30,0,0,0,0,1.0,,1,0.02235,50,50,0,0,0,0,1.0,,1,0.01272,100,100,0,0,0,0,1.0,,1,0.02606,200,200,0,0,0,0,1.0,,1,0.03858,300,300,0,0,0,0,1.0,,1,0.06345,500,500,0,0,0,0,1.0,,1,0.00457,50,50,0,0,0,0,1.0,,1,0.01432,100,100,0,0,0,0,1.0,,1,0.02478,200,200,0,0,0,0,1.0,,1,0.03701,300,300,0,0,0,0,1.0,,1,0.06255,500,500,0,0,0,0,1.0,,1,0.02772,200,200,0,0,0,0,1.0,,1,0.02845,200,200,0,0,0,0,1.0,,1,0.02881,200,200,0,0,0,0,1.0,,1,0.02794,200,200,0,0,0,0,1.0,,1,0.00611,100,0,0,0,0,0,1.0,,1,0.00907,200,0,0,0,0,0,1.0,,1,0.01322,300,0,0,0,0,0,1.0,,1,0.0255,500,0,0,0,0,0,1.0,,1,0.00913,200,0,0,0,0,0,1.0,,1,0.01211,200,0,0,0,0,0,1.0,,1,0.02714,500,0,0,0,0,0,1.0,,1
37,2256,0.59661,0,True,0.00288,20,20,0,0,0,0,1.0,,1,0.00327,30,30,0,0,0,0,1.0,,1,0.00552,50,50,0,0,0,0,1.0,,1,0.01336,100,100,0,0,0,0,1.0,,1,0.02549,200,200,0,0,0,0,1.0,,1,0.0411,300,300,0,0,0,0,1.0,,1,0.06483,500,500,0,0,0,0,1.0,,1,0.00471,50,50,0,0,0,0,1.0,,1,0.01476,100,100,0,0,0,0,1.0,,1,0.02612,200,200,0,0,0,0,1.0,,1,0.04158,300,300,0,0,0,0,1.0,,1,0.06383,500,500,0,0,0,0,1.0,,1,0.02946,200,200,0,0,0,0,1.0,,1,0.02578,200,200,0,0,0,0,1.0,,1,0.02929,200,200,0,0,0,0,1.0,,1,0.0271,200,200,0,0,0,0,1.0,,1,0.00545,100,0,0,0,0,0,1.0,,1,0.00853,200,0,0,0,0,0,1.0,,1,0.01731,300,0,0,0,0,0,1.0,,1,0.02547,500,0,0,0,0,0,1.0,,1,0.01103,200,0,0,0,0,0,1.0,,1,0.01055,200,0,0,0,0,0,1.0,,1,0.02485,500,0,0,0,0,0,1.0,,1
38,1321,0.57094,0,True,0.00268,20,20,0,0,0,0,1.0,,1,0.00318,30,30,0,0,0,0,1.0,,1,0.02202,50,50,0,0,0,0,1.0,,1,0.0158,100,100,0,0,0,0,1.0,,1,0.02627,200,200,0,0,0,0,1.0,,1,0.0366,300,300,0,0,0,0,1.0,,1,0.06171,500,500,0,0,0,0,1.0,,1,0.00461,50,50,0,0,0,0,1.0,,1,0.01288,100,100,0,0,0,0,1.0,,1,0.02612,200,200,0,0,0,0,1.0,,1,0.0398,300,300,0,0,0,0,1.0,,1,0.06322,500,500,0,0,0,0,1.0,,1,0.02732,200,200,0,0,0,0,1.0,,1,0.02876,200,200,0,0,0,0,1.0,,1,0.02812,200,200,0,0,0,0,1.0,,1,0.02575,200,200,0,0,0,0,1.0,,1,0.00578,100,0,0,0,0,0,1.0,,1,0.00861,200,0,0,0,0,0,1.0,,1,0.01358,300,0,0,0,0,0,1.0,,1,0.02536,500,0,0,0,0,0,1.0,,1,0.00861,200,0,0,0,0,0,1.0,,1,0.00978,200,0,0,0,0,0,1.0,,1,0.02656,500,0,0,0,0,0,1.0,,1
39,2563,0.56377,0,True,0.00254,20,20,0,0,0,0,1.0,,1,0.003,30,30,0,0,0,0,1.0,,1,0.0041,50,50,0,0,0,0,1.0,,1,0.02774,100,100,0,0,0,0,1.0,,1,0.02924,200,200,0,0,0,0,1.0,,1,0.03958,300,300,0,0,0,0,1.0,,1,0.06264,500,500,0,0,0,0,1.0,,1,0.00468,50,50,0,0,0,0,1.0,,1,0.01453,100,100,0,0,0,0,1.0,,1,0.02494,200,200,0,0,0,0,1.0,,1,0.03795,300,300,0,0,0,0,1.0,,1,0.0677,500,500,0,0,0,0,1.0,,1,0.02657,200,200,0,0,0,0,1.0,,1,0.027,200,200,0,0,0,0,1.0,,1,0.02577,200,200,0,0,0,0,1.0,,1,0.02622,200,200,0,0,0,0,1.0,,1,0.00715,100,0,0,0,0,0,1.0,,1,0.00838,200,0,0,0,0,0,1.0,,1,0.01389,300,0,0,0,0,0,1.0,,1,0.02382,500,0,0,0,0,0,1.0,,1,0.00876,200,0,0,0,0,0,1.0,,1,0.00882,200,0,0,0,0,0,1.0,,1,0.02422,500,0,0,0,0,0,1.0,,1
40,1624,0.57835,0,True,0.0028,20,20,0,0,0,0,1.0,,1,0.00315,30,30,0,0,0,0,1.0,,1,0.00525,50,50,0,0,0,0,1.0,,1,0.01413,100,100,0,0,0,0,1.0,,1,0.02784,200,200,0,0,0,0,1.0,,1,0.04031,300,300,0,0,0,0,1.0,,1,0.06354,500,500,0,0,0,0,1.0,,1,0.00444,50,50,0,0,0,0,1.0,,1,0.01465,100,100,0,0,0,0,1.0,,1,0.02555,200,200,0,0,0,0,1.0,,1,0.0403,300,300,0,0,0,0,1.0,,1,0.06255,500,500,0,0,0,0,1.0,,1,0.02647,200,200,0,0,0,0,1.0,,1,0.02525,200,200,0,0,0,0,1.0,,1,0.02741,200,200,0,0,0,0,1.0,,1,0.02867,200,200,0,0,0,0,1.0,,1,0.00782,100,0,0,0,0,0,1.0,,1,0.00869,200,0,0,0,0,0,1.0,,1,0.01343,300,0,0,0,0,0,1.0,,1,0.03271,500,0,0,0,0,0,1.0,,1,0.00927,200,0,0,0,0,0,1.0,,1,0.01013,200,0,0,0,0,0,1.0,,1,0.05346,500,0,0,0,0,0,1.0,,1
41,677,0.57545,0,True,0.00306,20,20,0,0,0,0,1.0,,1,0.00374,30,30,0,0,0,0,1.0,,1,0.02975,50,50,0,0,0,0,1.0,,1,0.06899,100,100,0,0,0,0,1.0,,1,0.11624,200,200,0,0,0,0,1.0,,1,0.11333,300,300,0,0,0,0,1.0,,1,0.0862,500,500,0,0,0,0,1.0,,1,0.01381,50,50,0,0,0,0,1.0,,1,0.03316,100,100,0,0,0,0,1.0,,1,0.0347,200,200,0,0,0,0,1.0,,1,0.06375,300,300,0,0,0,0,1.0,,1,0.08041,500,500,0,0,0,0,1.0,,1,0.04003,200,200,0,0,0,0,1.0,,1,0.03231,200,200,0,0,0,0,1.0,,1,0.0474,200,200,0,0,0,0,1.0,,1,0.04822,200,200,0,0,0,0,1.0,,1,0.00818,100,0,0,0,0,0,1.0,,1,0.01663,200,0,0,0,0,0,1.0,,1,0.01653,300,0,0,0,0,0,1.0,,1,0.02793,500,0,0,0,0,0,1.0,,1,0.01151,200,0,0,0,0,0,1.0,,1,0.01068,200,0,0,0,0,0,1.0,,1,0.02929,500,0,0,0,0,0,1.0,,1
42,254,0.75883,0,True,0.0043,20,20,0,0,0,0,1.0,,1,0.00984,30,30,0,0,0,0,1.0,,1,0.07307,50,50,0,0,0,0,1.0,,1,0.1078,100,100,0,0,0,0,1.0,,1,0.06419,200,200,0,0,0,0,1.0,,1,0.05288,300,300,0,0,0,0,1.0,,1,0.07916,500,500,0,0,0,0,1.0,,1,0.01916,50,50,0,0,0,0,1.0,,1,0.04198,100,100,0,0,0,0,1.0,,1,0.03552,200,200,0,0,0,0,1.0,,1,0.04812,300,300,0,0,0,0,1.0,,1,0.07247,500,500,0,0,0,0,1.0,,1,0.03334,200,200,0,0,0,0,1.0,,1,0.03228,200,200,0,0,0,0,1.0,,1,0.03053,200,200,0,0,0,0,1.0,,1,0.03151,200,200,0,0,0,0,1.0,,1,0.0076,100,0,0,0,0,0,1.0,,1,0.01059,200,0,0,0,0,0,1.0,,1,0.01517,300,0,0,0,0,0,1.0,,1,0.02595,500,0,0,0,0,0,1.0,,1,0.00972,200,0,0,0,0,0,1.0,,1,0.01412,200,0,0,0,0,0,1.0,,1,0.02577,500,0,0,0,0,0,1.0,,1
43,2325,0.5677,0,True,0.00264,20,20,0,0,0,0,1.0,,1,0.003,30,30,0,0,0,0,1.0,,1,0.0179,50,50,0,0,0,0,1.0,,1,0.01409,100,100,0,0,0,0,1.0,,1,0.02568,200,200,0,0,0,0,1.0,,1,0.03795,300,300,0,0,0,0,1.0,,1,0.0672,500,500,0,0,0,0,1.0,,1,0.00681,50,50,0,0,0,0,1.0,,1,0.01716,100,100,0,0,0,0,1.0,,1,0.02703,200,200,0,0,0,0,1.0,,1,0.04644,300,300,0,0,0,0,1.0,,1,0.06427,500,500,0,0,0,0,1.0,,1,0.02877,200,200,0,0,0,0,1.0,,1,0.02607,200,200,0,0,0,0,1.0,,1,0.0247,200,200,0,0,0,0,1.0,,1,0.02753,200,200,0,0,0,0,1.0,,1,0.00618,100,0,0,0,0,0,1.0,,1,0.00854,200,0,0,0,0,0,1.0,,1,0.01347,300,0,0,0,0,0,1.0,,1,0.02764,500,0,0,0,0,0,1.0,,1,0.01145,200,0,0,0,0,0,1.0,,1,0.01183,200,0,0,0,0,0,1.0,,1,0.02421,500,0,0,0,0,0,1.0,,1
44,2284,0.56596,0,True,0.00254,20,20,0,0,0,0,1.0,,1,0.00299,30,30,0,0,0,0,1.0,,1,0.0041,50,50,0,0,0,0,1.0,,1,0.01448,100,100,0,0,0,0,1.0,,1,0.02448,200,200,0,0,0,0,1.0,,1,0.03716,300,300,0,0,0,0,1.0,,1,0.0618,500,500,0,0,0,0,1.0,,1,0.00465,50,50,0,0,0,0,1.0,,1,0.01453,100,100,0,0,0,0,1.0,,1,0.02816,200,200,0,0,0,0,1.0,,1,0.04001,300,300,0,0,0,0,1.0,,1,0.06485,500,500,0,0,0,0,1.0,,1,0.02503,200,200,0,0,0,0,1.0,,1,0.02503,200,200,0,0,0,0,1.0,,1,0.02851,200,200,0,0,0,0,1.0,,1,0.02491,200,200,0,0,0,0,1.0,,1,0.0069,100,0,0,0,0,0,1.0,,1,0.00851,200,0,0,0,0,0,1.0,,1,0.01306,300,0,0,0,0,0,1.0,,1,0.03076,500,0,0,0,0,0,1.0,,1,0.00886,200,0,0,0,0,0,1.0,,1,0.00942,200,0,0,0,0,0,1.0,,1,0.02948,500,0,0,0,0,0,1.0,,1
45,542,0.57209,0,True,0.00276,20,20,0,0,0,0,1.0,,1,0.00355,30,30,0,0,0,0,1.0,,1,0.02616,50,50,0,0,0,0,1.0,,1,0.02506,100,100,0,0,0,0,1.0,,1,0.03067,200,200,0,0,0,0,1.0,,1,0.04442,300,300,0,0,0,0,1.0,,1,0.06785,500,500,0,0,0,0,1.0,,1,0.00482,50,50,0,0,0,0,1.0,,1,0.01359,100,100,0,0,0,0,1.0,,1,0.02787,200,200,0,0,0,0,1.0,,1,0.0412,300,300,0,0,0,0,1.0,,1,0.06519,500,500,0,0,0,0,1.0,,1,0.0255,200,200,0,0,0,0,1.0,,1,0.0279,200,200,0,0,0,0,1.0,,1,0.0288,200,200,0,0,0,0,1.0,,1,0.02832,200,200,0,0,0,0,1.0,,1,0.00783,100,0,0,0,0,0,1.0,,1,0.00918,200,0,0,0,0,0,1.0,,1,0.01372,300,0,0,0,0,0,1.0,,1,0.0283,500,0,0,0,0,0,1.0,,1,0.00933,200,0,0,0,0,0,1.0,,1,0.00987,200,0,0,0,0,0,1.0,,1,0.0273,500,0,0,0,0,0,1.0,,1
46,1102,0.58897,0,True,0.00286,20,20,0,0,0,0,1.0,,1,0.00314,30,30,0,0,0,0,1.0,,1,0.00713,50,50,0,0,0,0,1.0,,1,0.01408,100,100,0,0,0,0,1.0,,1,0.02713,200,200,0,0,0,0,1.0,,1,0.04602,300,300,0,0,0,0,1.0,,1,0.06276,500,500,0,0,0,0,1.0,,1,0.00532,50,50,0,0,0,0,1.0,,1,0.01537,100,100,0,0,0,0,1.0,,1,0.02858,200,200,0,0,0,0,1.0,,1,0.04423,300,300,0,0,0,0,1.0,,1,0.06588,500,500,0,0,0,0,1.0,,1,0.03018,200,200,0,0,0,0,1.0,,1,0.02649,200,200,0,0,0,0,1.0,,1,0.02693,200,200,0,0,0,0,1.0,,1,0.02578,200,200,0,0,0,0,1.0,,1,0.00641,100,0,0,0,0,0,1.0,,1,0.00858,200,0,0,0,0,0,1.0,,1,0.01379,300,0,0,0,0,0,1.0,,1,0.03101,500,0,0,0,0,0,1.0,,1,0.00892,200,0,0,0,0,0,1.0,,1,0.00964,200,0,0,0,0,0,1.0,,1,0.02449,500,0,0,0,0,0,1.0,,1
47,380,0.57202,0,True,0.00254,20,20,0,0,0,0,1.0,,1,0.00309,30,30,0,0,0,0,1.0,,1,0.00427,50,50,0,0,0,0,1.0,,1,0.01282,100,100,0,0,0,0,1.0,,1,0.02511,200,200,0,0,0,0,1.0,,1,0.04005,300,300,0,0,0,0,1.0,,1,0.09044,500,500,0,0,0,0,1.0,,1,0.03473,50,50,0,0,0,0,1.0,,1,0.07116,100,100,0,0,0,0,1.0,,1,0.03941,200,200,0,0,0,0,1.0,,1,0.06673,300,300,0,0,0,0,1.0,,1,0.08833,500,500,0,0,0,0,1.0,,1,0.03064,200,200,0,0,0,0,1.0,,1,0.0303,200,200,0,0,0,0,1.0,,1,0.02986,200,200,0,0,0,0,1.0,,1,0.02739,200,200,0,0,0,0,1.0,,1,0.00706,100,0,0,0,0,0,1.0,,1,0.00975,200,0,0,0,0,0,1.0,,1,0.01746,300,0,0,0,0,0,1.0,,1,0.02567,500,0,0,0,0,0,1.0,,1,0.0115,200,0,0,0,0,0,1.0,,1,0.00963,200,0,0,0,0,0,1.0,,1,0.03013,500,0,0,0,0,0,1.0,,1
48,278,0.58441,0,True,0.00258,20,20,0,0,0,0,1.0,,1,0.00305,30,30,0,0,0,0,1.0,,1,0.01508,50,50,0,0,0,0,1.0,,1,0.02043,100,100,0,0,0,0,1.0,,1,0.02878,200,200,0,0,0,0,1.0,,1,0.03769,300,300,0,0,0,0,1.0,,1,0.06337,500,500,0,0,0,0,1.0,,1,0.00793,50,50,0,0,0,0,1.0,,1,0.01286,100,100,0,0,0,0,1.0,,1,0.02871,200,200,0,0,0,0,1.0,,1,0.03974,300,300,0,0,0,0,1.0,,1,0.06838,500,500,0,0,0,0,1.0,,1,0.02723,200,200,0,0,0,0,1.0,,1,0.02659,200,200,0,0,0,0,1.0,,1,0.02802,200,200,0,0,0,0,1.0,,1,0.02595,200,200,0,0,0,0,1.0,,1,0.00762,100,0,0,0,0,0,1.0,,1,0.00899,200,0,0,0,0,0,1.0,,1,0.01332,300,0,0,0,0,0,1.0,,1,0.03577,500,0,0,0,0,0,1.0,,1,0.01016,200,0,0,0,0,0,1.0,,1,0.01143,200,0,0,0,0,0,1.0,,1,0.02601,500,0,0,0,0,0,1.0,,1
49,2472,0.55357,0,True,0.00262,20,20,0,0,0,0,1.0,,1,0.00332,30,30,0,0,0,0,1.0,,1,0.00462,50,50,0,0,0,0,1.0,,1,0.01305,100,100,0,0,0,0,1.0,,1,0.02699,200,200,0,0,0,0,1.0,,1,0.04039,300,300,0,0,0,0,1.0,,1,0.06384,500,500,0,0,0,0,1.0,,1,0.00437,50,50,0,0,0,0,1.0,,1,0.01215,100,100,0,0,0,0,1.0,,1,0.02755,200,200,0,0,0,0,1.0,,1,0.0614,300,300,0,0,0,0,1.0,,1,0.0885,500,500,0,0,0,0,1.0,,1,0.04678,200,200,0,0,0,0,1.0,,1,0.03039,200,200,0,0,0,0,1.0,,1,0.02859,200,200,0,0,0,0,1.0,,1,0.02774,200,200,0,0,0,0,1.0,,1,0.00752,100,0,0,0,0,0,1.0,,1,0.01103,200,0,0,0,0,0,1.0,,1,0.01536,300,0,0,0,0,0,1.0,,1,0.02638,500,0,0,0,0,0,1.0,,1,0.00962,200,0,0,0,0,0,1.0,,1,0.01055,200,0,0,0,0,0,1.0,,1,0.02776,500,0,0,0,0,0,1.0,,1
